title,singers,directors,lyricist,genre,album,download_link,poster,year
Allah Teri Kya Shaan Hai,"['Jaan Nissar Lone', ' Kamal Khan']",['Jaan Nissar Lone'],['Sahil Fatehpuri'],"['Filmi', ' Sufi/Qawwali']",18.11 (A Code Of Secrecy),https://www.youtube.com/watch?v=rF7JYlu2mhM,https://is1-ssl.mzstatic.com/image/thumb/Music4/v4/dc/dc/62/dcdc62e3-6e54-cc35-f0ac-bdf929f0ff28/source/200x200.jpg,2014
Yeh Zamin Yeh Aasman Roshni Se Nahaane Lage,"['Kunal Ganjawala', "" Suzanne D'Mello"", ' Nadeem Al Balushi']",['Jaan Nissar Lone'],"['Tanveer Ghazi', ' Sahil Fatehpuri']","['Filmi', ' Pop', ' Arabic']",18.11 (A Code Of Secrecy),https://www.youtube.com/watch?v=6av6kNVx-0I,https://is1-ssl.mzstatic.com/image/thumb/Music4/v4/dc/dc/62/dcdc62e3-6e54-cc35-f0ac-bdf929f0ff28/source/200x200.jpg,2014
Mera Yaar Thanedaar,"['Rani Hazarika', ' Jaan Nissar Lone']",['Jaan Nissar Lone'],['Sahil Fatehpuri'],['Filmi'],18.11 (A Code Of Secrecy),https://www.youtube.com/watch?v=djznDrQ05wA,https://is1-ssl.mzstatic.com/image/thumb/Music4/v4/dc/dc/62/dcdc62e3-6e54-cc35-f0ac-bdf929f0ff28/source/200x200.jpg,2014
Eagle Sa Ego Hai,['Shaan'],['Jaan Nissar Lone'],['Tanveer Ghazi'],['Filmi'],18.11 (A Code Of Secrecy),https://www.youtube.com/watch?v=mI5qs83q6Z8,https://is1-ssl.mzstatic.com/image/thumb/Music4/v4/dc/dc/62/dcdc62e3-6e54-cc35-f0ac-bdf929f0ff28/source/200x200.jpg,2014
Aandhi Jaisi Raftar Chal Chala Chal (Chal Chal Saathi Re),['Shail Hada'],['Jaan Nissar Lone'],['Tanveer Ghazi'],"['Filmi', ' Rock']",18.11 (A Code Of Secrecy),https://www.youtube.com/watch?v=8R1rs5dvqyM,https://is1-ssl.mzstatic.com/image/thumb/Music4/v4/dc/dc/62/dcdc62e3-6e54-cc35-f0ac-bdf929f0ff28/source/200x200.jpg,2014
Offo,"['Aditi Singh Sharma', ' Amitabh Bhattacharya']",['Shankar - Ehsaan - Loy'],['Amitabh Bhattacharya'],['Pop'],2 States,https://www.youtube.com/watch?v=YPlIhgAX9AQ,https://is5-ssl.mzstatic.com/image/thumb/Music124/v4/36/f0/5a/36f05a7d-7bb3-404e-acb4-f50383d0e167/source/200x200.jpg,2014
Locha-E-Ulfat Ho Gaya (Ban Ke Museebat Peechhe Padi Hai),['Benny Dayal'],['Shankar - Ehsaan - Loy'],['Amitabh Bhattacharya'],"['Filmi', ' Pop']",2 States,https://www.youtube.com/watch?v=G6RR2_NQ530,https://is5-ssl.mzstatic.com/image/thumb/Music124/v4/36/f0/5a/36f05a7d-7bb3-404e-acb4-f50383d0e167/source/200x200.jpg,2014
Mast Magan,"['Arijit Singh', ' Chinmayi Sripaada']",['Shankar - Ehsaan - Loy'],['Amitabh Bhattacharya'],"['Sufi/Qawwali', ' Filmi']",2 States,https://www.youtube.com/watch?v=xitd9mEZIHk,https://is5-ssl.mzstatic.com/image/thumb/Music124/v4/36/f0/5a/36f05a7d-7bb3-404e-acb4-f50383d0e167/source/200x200.jpg,2014
Iski Uski,"['Akriti Kakar', ' Shahid Mallya']",['Shankar - Ehsaan - Loy'],['Amitabh Bhattacharya'],"['Pop', ' Bhangra', ' Filmi']",2 States,https://www.youtube.com/watch?v=xQMMBANbcdQ,https://is5-ssl.mzstatic.com/image/thumb/Music124/v4/36/f0/5a/36f05a7d-7bb3-404e-acb4-f50383d0e167/source/200x200.jpg,2014
Chaandaniya,"['K. Mohan', ' Yashita Sharma']",['Shankar - Ehsaan - Loy'],['Amitabh Bhattacharya'],"['Filmi', ' Pop']",2 States,https://www.youtube.com/watch?v=P0KasU0HXD0,https://is5-ssl.mzstatic.com/image/thumb/Music124/v4/36/f0/5a/36f05a7d-7bb3-404e-acb4-f50383d0e167/source/200x200.jpg,2014
Hulla Re,"['Shankar Mahadevan', ' Rasika Shekar', ' Siddharth Mahadevan']",['Shankar - Ehsaan - Loy'],['Amitabh Bhattacharya'],"['Bhangra', ' Pop']",2 States,https://www.youtube.com/watch?v=xNzHio8_V-Q,https://is5-ssl.mzstatic.com/image/thumb/Music124/v4/36/f0/5a/36f05a7d-7bb3-404e-acb4-f50383d0e167/source/200x200.jpg,2014
Isaiyin Alai Pongudhu,['Mahalaxmi Iyer'],['Shankar - Ehsaan - Loy'],['Jayameera Jagannath'],[''],2 States,,https://is5-ssl.mzstatic.com/image/thumb/Music124/v4/36/f0/5a/36f05a7d-7bb3-404e-acb4-f50383d0e167/source/200x200.jpg,2014
Kaadal Unnil Naan Kanden,['Siddharth Mahadevan'],['Shankar - Ehsaan - Loy'],['Niranjan Iyengar'],[''],2 States,,https://is5-ssl.mzstatic.com/image/thumb/Music124/v4/36/f0/5a/36f05a7d-7bb3-404e-acb4-f50383d0e167/source/200x200.jpg,2014
Ret Ki Tarah,['Rajat - II'],['Manan'],['Manan'],['Rock'],3 A.M.,https://www.youtube.com/watch?v=gihXd-Say7s,https://is4-ssl.mzstatic.com/image/thumb/Music114/v4/0a/10/94/0a109446-d29c-fbaa-c32c-fa663135b18e/source/200x200.jpg,2014
